"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL3939962";"";"0";"388.43";"0";"2.48";"BDBM216374";"O=C(Nc1ccc(cc1)C(=O)N2CCn3cncc3C2)N4Cc5ccncc5C4";"IC50";"'='";"129";"nM";"6.89";"";"379928";"UO_0000065";"17.74";"0.32";"4.41";"8.26";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3980260";"";"0";"478.6";"1";"5.33";"BDBM216778";"O=C(Nc1ccc(cc1)c2cn(nn2)C3CCN(Cc4ccccc4)CC3)N5Cc6ccccc6C5";"IC50";"'='";"135";"nM";"6.87";"";"379933";"UO_0000065";"14.35";"0.26";"1.54";"10.36";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3943172";"";"0";"410.47";"0";"2.65";"BDBM216822";"COCC(=O)N1CCC(CC1)Oc2ccc(NC(=O)N3Cc4ccncc4C3)cc2";"IC50";"'='";"43.3";"nM";"7.36";"";"380236";"UO_0000065";"17.94";"0.34";"4.71";"8.77";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3903441";"";"0";"434.46";"0";"4.12";"BDBM216756";"FC(F)(F)c1ccc2CN(Cc2c1)C(=O)NCCCCCCNC(=O)c3cccnc3";"IC50";"'='";"24.7";"nM";"7.61";"";"379985";"UO_0000065";"17.51";"0.34";"3.49";"10.23";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3892464";"";"0";"400.91";"0";"3.75";"BDBM216759";"Clc1cccc2CN(Cc12)C(=O)NCCCCCCNC(=O)c3cccnc3";"IC50";"'='";"27";"nM";"7.57";"";"379988";"UO_0000065";"18.88";"0.37";"3.82";"10.18";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3986925";"";"0";"463.58";"0";"4.42";"BDBM216954";"O=C(CC1CCOCC1)N2CCC(CC2)Oc3ccc(NC(=O)N4Cc5ccccc5C4)cc3";"IC50";"'='";"164";"nM";"6.79";"";"380324";"UO_0000065";"14.64";"0.27";"2.37";"9.54";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3891439";"";"0";"422.49";"0";"2.79";"BDBM216857";"O=C(CC1CCCO1)N2CC(C2)Oc3ccc(NC(=O)N4Cc5ccncc5C4)cc3";"IC50";"'='";"48";"nM";"7.32";"";"380327";"UO_0000065";"17.32";"0.32";"4.53";"8.71";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3967643";"";"0";"405.5";"0";"2.81";"BDBM216675";"CN(C)CC(=O)N1CCC(=CC1)c2ccc(NC(=O)N3Cc4ccncc4C3)cc2";"IC50";"'='";"25.9";"nM";"7.59";"";"380368";"UO_0000065";"18.71";"0.35";"4.78";"11.03";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3921001";"";"0";"460.58";"0";"2.49";"BDBM216676";"CN1CCN(CC(=O)N2CCC(=CC2)c3ccc(NC(=O)N4Cc5ccncc5C4)cc3)CC1";"IC50";"'='";"2.97";"nM";"8.53";"";"380369";"UO_0000065";"18.51";"0.34";"6.04";"11.84";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
"CHEMBL3933187";"";"0";"444.58";"1";"5.26";"BDBM216963";"O=C(NC1CCC(=CC1)c2ccc(NC(=O)N3Cc4ccncc4C3)cc2)C5CCCCC5";"IC50";"'='";"11.7";"nM";"7.93";"";"380372";"UO_0000065";"17.84";"0.33";"2.67";"10.67";"False";"CHEMBL3888191";"Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Binding Assay : Probe 2:The assay was carried out in 18 uL low volume plates (Owens Corning) in reaction buffer (50 mM HEPES (NaOH), pH 7.5, 100 mM NaCl, 10 mM MgCl2, 1 mM DTT, 1% Glycerol) using 6.8 nM recombinant, human, C-terminally-His tagged NAMPT, 1 nM Tb-anti-His antibody (Invitrogen, Cat #PV5895), and 200 nM probe (Oregon Green 488-conjugated APO0866; A-1287128.0. Plates were covered, and reactions were carried out for 2-3 hours. Plates were read with Envision (Laser Lantha low volume protocol) after 2 to 3 hours. Excitation was carried out at 337 nm, and the ratio of emission of Oregon Green (520 nm) to terbium (492 nm) was determined and used to calculate IC50 values of test compounds.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL1744525";"Nicotinamide phosphoribosyltransferase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886617";"37";"BindingDB Database";"";"2016";""
